wallet,amount
0xdcfc30125bdf514b7c434f9868783c7b48d7a3bc,6
0xca968044effff14bee263ca6af3b9823f1968f37,6
0x8b82f47a8047a4210dc33f0e8b0da82f52696e04,6
0xa148f43b6aca0f99e3a831ed07f158ce4cde0319,6
0xde536df2a121cf91be35f770acb98c3f9bd5734f,6
0x6514304c439565bc6bf5e60dc69dc355a034e6c3,6
0xc41253971d96815aa8331a86045dd72b0d113bf1,6
0x774fa82624da42e933cffdb73d788f9440fa68fd,6
0x477e0d5c6323fe7106e9fa39a5089baecf5b0a93,5
0xd47fa986ce8a98321d10c28817e72a37a72c313b,5
0x0777343dc49b02e5b935c6168b7f822a9cbd4132,5
0x6d336574fb8ad50e4fb12b21c51b219b354365b0,5
0x143642c1cb5046f2b3551bd817ab7674d840bbed,5
0x7dcb39fe010a205f16ee3249f04b24d74c4f44f1,5
0x88156facf7c584bf658badba8bf4d17af6fb150e,5
0x2efb6f6d864f1a8ee2e258e5e4374fec616ec0cd,5
0x4990f3bb083a61e14797f0f78fc16d463aa4aafe,5
0xbd8d790f13395164452af4ab673686933a0f9c8d,5
0x715b4ecfb92d3e74903bcd26e7da719141cbc2dd,5
0x26f2755277456917544ed13592a807f356075006,5
0x87ba6ef5fab4a3f54440d2f2a7606024f6971280,5
0x926d2562cd25e2a8988449f61271c19ff65d2c04,5
0x8157e6ae7123d48988a13ed1a9c0abd18d3f08c8,5
0x279ab61ebeec7c354a05caa1878f269105d759ac,5
0x268b726f140e5b1bb9e20193a2c1beeca78ed938,5
0x3e57efef507b4db7acfa2ee79ceca6b19e18d106,5
0x3288338837dc90afbb81a93e5a9c3c5688436e10,5
0x4322aa46ffed67809862da613725728e2fb8eae3,5
0x5057b32e28e66a651524142f99411df9a751133d,5
0xe4254cf33f8e1276549f010989de8eb9251fb917,5
0x1cbffe5e90343d183a9a6788a2af681391145ce6,5
0x8ae22d8e439da5df2f03e99fe9e5fc8544f4ac2d,5
0x91e5f0e577a250c1b4a7ba47b914bf539c5d44ff,5
0xc8a22fb85736a8aaa45eadac8c066fd2e0574c1e,5
0x3bfc4abedcc8fce22fdfa63543c770e003283339,5
0xd0b4ee02e9ba15b9dac916d2ccabad50f836b24d,5
0xd5493cd734c269475e7a775e95bcc2bb9f01336b,5
0x396bff8a62a4c8b3cf4c385d45e77795d9ed6b42,5
0x036e4b2c21695a2e09ac7d7d089f6e50ad62886d,5
0x4384d5a93cd9eb205a6a3c2dda3a5b09645bb1d0,5
0x3361e898665936073bb403c623fd99824e0664d2,5
0x36a6f6f423778a71fbd635081f4ee44ff15b9d6a,5
0x5538b9675f361a3fa39aad8ce6fd5b5a6790c80a,5
0x78e7d7d4b454ab02904477ea71e6f15270bbb716,5
0x0c6306c1ff8f0ca8432b761085d5ce74160a499a,5
0x614cd70186e1131a7e93a39cf7a61df99e63e8b3,5
0xb4b1be767e80c8dcce03f0e7025a8e76e70f2935,5
0x44d16365d30bcf7f77d9c1f4979848d734c92523,5
0xa776c52ab23aface6e958c62c5455616eec12716,5
0xe67e43b831a541c5fa40de52ab0afbe311514e64,5
0x951b6d50d07c39b0f97a7bb2f5c1e96f07a093d3,5
0x8dc0b2384ee8cae3a90a9a50b25199074faf46b5,5
0x19900bbabaf285d03487a3e5185548ca9f620a21,5
0xad6ee7c40d7d80a6c404e82e77cde5c5088e98a5,5
0xcf29e3606e302347cf445ba770aa7455f00872da,5
0xcd027a5e198c9dafd16a1526c6f5794f3dc69c1d,5
0x6451c09d8080bf7f85844559ff0e96b484a4bfc0,5
0x2cfe30080f3a5644c763c4a3fc88e8a1fbd55526,5
0x8fbc89b8d9ed06f9454b8bd45277e64e1977693e,5
0x8ec4d8191cd6f68a8c2cc0fc12b2ac0e7e0825c5,5
0x3cf599151baefb455f43add918592d9e4dbabfc9,5
0xd95e9e059c1ca5ac1653c6d92430158ab7f2d910,5
0x0c2e03032f7acb5b60d484e81558f08c0952c4e1,5
0x54be3a794282c030b15e43ae2bb182e14c409c5e,5
0x7fa0ac0a02ce759cbc6101ff5b07c5e0d1d5fc98,5
0xddcf75b8b9eb2ab61e5a8b48f5822549c1b07258,5
0x700570ada3fefb97acb2388acaf425790b4f11a9,5
0x7d65bba2e829fdaaf3a185a3f5596ced9bc6b462,5
0xc2e54856b0f02e52299573dfd7f4971b275b17a9,4
0x16f1760ed9321eac4788514b1e5cce598ab3c43a,4
0x2ca8291fe3fe4c3a8ec8745e9157b954c0181910,4
0xa4b8d5774592092510e520f9ec8aad1e3f1bbbe4,4
0x0607892a5e562027ec4ceba8e0bce26a37119981,4
0xcf23f90b2a533bbb9a47f4af37479f930d6d4b3b,4
0xc228c2562e26bdd98e54e05273cf7455efe2e87a,4
0x3b9a7c8d85ced3c6940558f81c59c0eaf2a530e5,4
0x79f246f3482b618efd6e07c5f98ddc652633c2fd,4
0x8ff40906884c34fb9d20b1b38841795aa0cdbf21,4
0x4f6f17a6e181d2846d116e86553f797521d63bad,4
0x5fb33d75a1cfcdc922e736c06e01c1505b4643db,4
0xf1bd046b98dc7cb13096ef4c880eb09f148a46e2,4
0x6ed611581f047be8188c9eb085df6022265885ec,4
0x40fb8a2652f6b8f41e03f7cd830c3cffa46dfa1f,4
0x57e1778318ae6a57141c133911ac8dee5ef6921e,4
0xc2a12ad052c4471493e0b4afca1e186769e8514b,4
0x350773fcf465043a059b23dff9a6ac65d2ca82c8,4
0x2f3d3d4b5db4fc790f4bcc0e2b0fe9a8ef42f6ad,4
0x308a01dbafdd319827ee70eebab7f32be279dd3a,4
0xed6d1da67d18df09f42c50e2c4e86370f58a8d20,4
0xd6d0a2aec48f66707ad4da8b21eccab94497bd89,4
0x0d9ef4e0563cee5216fc9a49ac6c6f975afc1fb7,4
0x0d0bd6469be80d57893cf1b21434936dfaa35319,4
0x5e8794da34d8a9267eb8659a20f355d4e70daf0e,4
0xe4dfdb2b3f59cee6c484e19e3d5f0dd4535993cd,4
0x9a54e31807c6c8eafdd012a412f1851e77fe7843,4
0x79376f23f1d71dbf9f655784e70a6a25d9d56b0d,4
0xf719c10a6df1900e20d6cf1789793da7867e95cc,4
0x004775cec7c60ccefa0a05a119db956c3a1f41c6,4
0x1fce0f4fb4152b7beefadbc96f971337a16b3884,4
0x3f2dca262489c75f4220e178aee24b4c69f43592,4
0xbd1293983cbdc189f986bafda8cbf9f37fb30e2c,4
0xede0d28a7e074d2a717bc3d74464a8a0c4b099c1,4
0x6a191c11fbf567bb19f554393662da80d269be91,4
0x7b5180e9130a8066574db8d698786553badc1e64,4
0xc5dfc358838e2486e759115c1674f5abcf930095,4
0x0514a89b8bac595e323603cc3c0a1cb765e99eb2,4
0xeb549edf318fcbbed23cb3dd2323449e401ebd3c,4
0xeabdff0463b08401218d8766e08f9b2dceb9db02,4
0x5dd424eb7074078c078e5a40dea6b64fd727d53b,4
0xb9fe66b3440edd0cf5f1d1a55c75f8a8e59b6cb2,4
0x450ee356ad372cc77d3fc329a472326633232b30,4
0x3577385c7b5a52d8fba230ac88c416cd97fa3ccc,4
0x93978bdf1392b7e4ee172fc2505ba30de95d375f,4
0x29683db5189644d8c4679b801af5c67e6769ecef,4
0xad63e4d4be2229b080d20311c1402a2e45cf7e75,4
0x10c98e428823b4ff46b997172c0c65fb08c0b4ce,4
0x020cf21cb58942e2c2fa355c4646d61b576e19c0,4
0xebdf2eeba978a96f30f23af3c4bd296996a39b3b,4
0x58bcd7dd3c76225fdb7a53fa81cca08a2aff0f33,4
0xfdb767210503905d65e37e2b4a5de0b0c31d42ef,4
0x610336e20ac62fa46bfc38d7488d66568252ae92,4
0xbb05c476f70e72523ad83106cbc050e771ff73a5,4
0xdd72aa01bbffbade64766018c406af7558f025ff,4
0x0fbf0be174da2a813c1538dfd6ee3c01f6eddfd2,3
0xafaab97d7e708737b46dd2ad41aa82cf2eaff9c5,3
0x775d29aacbc86c87b04f51034c58c1da2ba081e1,3
0x2e9fe8fb16f8424ec690a4b413671c7fba0eeebe,3
0x16ae62a3c2b3ff7c849a9dab8fd9dd6908b9b791,3
0x429a248632b499465f79ab9e45cc871b878d680a,3
0xec90215396fd13d3e847901580f4085ca097526c,3
0x3daeb58949551deb6e940c2d75a6e661bf39406b,3
0x4fe56c2713883a96a1f42c2bf5c596b43f142bbc,3
0x4d2487c6817f1bcee33131a64a26d7e7dcaca28a,3
0x6909e31e2dbf9b1140dca85acb77224b59258a9f,3
0x263efba1360a67aa7a3ebf319418ef5cd32bcbca,3
0x690a2ba134d8d49e07ac5786d6dc02ca735a9633,3
0x48000d12d1d3f940fa6d299b8e92e3a022de9022,3
0x90c35c60a9665a98ed03e9072cae52a0232f3376,3
0x74f54b4435eff8d5f680644cc6482434eb9221db,3
0x3f8cd3cc58391e704a2a0fab2482b8116cb9d670,3
0x69722e056087f98352b46ddca72e111c10399295,3
0x8ddd03b89116ba89e28ef703fe037ff77451e38e,3
0x9f7f67699b6b35ee2c37e3c9be43e437e2fa4bf7,3
0x09287f0cea9475fcd6ace86f5830ce79881e5186,3
0xabaa03844151735f9455d5f9ab02dab7d3d37724,3
0x0809046b02bde681e840aafa084dcb0c13ac2026,3
0xf7c5b4117d87968c46987c301ee9dca68d4248a7,3
0x683e11ba90767a500eedb99063d348a12cc713f7,3
0xa8433e407c875794717a8fbe99aa33a110a5dafe,3
0x47b6e4cefa215b4878d658d4d5b8a168ffe3e645,3
0x9f29097fd491fb9aefc02a6f490f5a7e89b6c5d2,3
0x529096c3065d8a82355bc358e0f2af764c337a20,3
0x6c7d16c6568996d059806a9a55b5e3faf7b768dd,3
0x0ff38ff68194827dcea20772692ee762e01b7abf,3
0x038a0c287296ef1801c5e4e56d4ea2f3232544d4,3
0xc56321619b92b850c7be958574d8cb928d7312f0,3
0x7ba6527419152e17d78daccbb89a51ab71c8d200,3
0x0a2a3d3c6d4f2d57d307da3e3e99ff8122077da5,3
0x9716444f669e10573513fbdc0ad5d03c2e236fdc,3
0x4dd1aaae0c9ac1230606f151694bdc7f2baf3b42,3
0x008fdc5fdb74e894288ceb25c91150bd019557e8,3
0x6d7d28fc2ee2807693ac5096dc9d35a7aea68faf,3
0x1767351ae3f97db74420734da0fc368d400ad9f4,3
0x420ef31273063ade3439e7d60318d3cd973e4572,3
0x7f85cf44e446a4b1aace2a28774e88cd6d4e3441,3
0x4b49d5436268d34e8205c95e697d91a52feb2ae6,3
0xd00d434da36f38756efcc6d85b8fb39072082d3c,3
0xf1ab537d0347dfecad8c71a483f36c2a6985f337,3
0x88dfa9978dfcd1061af4f801c56012fefc908185,3
0x7347e8ecd80d1f9f8ad9a970e39f6a6cc459385f,3
0x2ff04a9c9dd5ed3e9cdd0a1458e235552cd40c9c,3
0xd13ecbb3c6e96b10a92776efcabcd4bf074fb583,3
0x226271925dcc33459794c8688d9bbadb134cc27a,3
0xa85c4ceb3e676e4f8203c3e00aef588f954b5d69,3
0x1e7127c81c8a58661a0811f026b6be66533934be,3
0x5d43d22d6837d07ca62512b465e63d6c6fab46a6,3
0x1e22f5248da6625bbc85c60a3902e8789d15c7e7,3
0x432343ec75282577e656c9dcc897db2ef4ddd4cb,3
0x1bcd9f67f027fa32705f9b38bd120caf7a1d375d,3
0x496ea6e5bc2b458bceea02b5d9791b0b662ebb6c,3
0x8cecd41ddf463dccb96fae4482bb6ffe43c55fd3,3
0xfd06bbd24f1a92908da041e0b18481034fb58bf6,3
0x23db25c468507cdc30da36c150cf34958fc51194,3
0xb7d9945166e3da89ee4c0947230753d656d116a5,3
0x14310da3c24fa4938bd0203149a4acdf67a9eaa6,3
0x5bcbaba9704f625bdb7eb1d8a3c305737916e6ff,3
0x29c379873c38176b232fe1860305451badaec597,3
0x8a5d546d0d9269770faba8cfc2d8a84fcd93c231,3
0xa73d695019457f9ee3ec22aae8dd277c07482aa9,3
0x6146837d8ce07b53be81d08fbe5ae1e2e787acec,3
0x19e5244ebd90673803945986a2e5de57fb421fe6,3
0xbf5a330b28f7392e27d04c92e3eeb3afe15e23c4,3
0x28381f76a1c7733cff4791d3ce345b6f3eb2712a,3
0xf2d7eb5c436b667922209c61ea8cd8310e36eec0,3
0x3550fd6fd6e43e02b0c8600a4a29076206c27ef0,3
0x1ac08405e96e3561893eef86f194acdb9a24d38d,3
0xde9f0e07b7dfccd7aae2fc6fbf9d1e0f551db4c6,3
0xef2718bf54c819e1ca9c02a92210a50d5ddd7cf4,3
0x982c62e9628aa52beb2240160991c2e37ad371a1,3
0xb804f5bd0b5e05a3a09e4fa87b66c0d944145d8f,3
0x149dd8c2afc95934e78e6681098aa6b700ecdb23,3
0xd433fb5a905df485e82d76b6e1f97ff69fcada30,3
